train_loss,train_acc,val_loss,val_acc
6.253,0.1214,4.7503,0.2314
4.4005,0.2637,3.8775,0.3303
3.6687,0.3553,3.2791,0.4147
3.1329,0.4273,2.9332,0.465
2.8154,0.4703,2.7918,0.4868
2.621,0.497,2.6831,0.5037
2.4863,0.5163,2.6249,0.5143
2.3824,0.5309,2.6093,0.5192
2.2996,0.5431,2.573,0.525
2.2308,0.5532,2.5589,0.5297
2.1734,0.5616,2.5473,0.5324
2.1217,0.5698,2.5466,0.5343
2.0779,0.5764,2.5262,0.5367
2.0373,0.5823,2.5339,0.5374
2.0031,0.5872,2.5445,0.5371
1.9702,0.5926,2.5379,0.5398
1.9409,0.597,2.5502,0.5403
1.9139,0.6008,2.5391,0.5404
1.8887,0.6054,2.5497,0.541
1.8661,0.6089,2.5483,0.5399
